OriginalDiameter(m) 9.0
KHP 104
No	Head(m)	Power(MW)
1	1.0 	0.0000 
2	1.1 	0.1878 
3	1.2 	0.7117 
4	1.3 	1.2434 
5	1.4 	1.7828 
6	1.5 	2.3298 
7	1.6 	2.8843 
8	1.7 	3.4460 
9	1.8 	4.0148 
10	1.9 	4.5905 
11	2.0 	5.1731 
12	2.1 	5.7623 
13	2.2 	6.3580 
14	2.3 	6.9601 
15	2.4 	7.5684 
16	2.5 	8.1827 
17	2.6 	8.8028 
18	2.7 	9.4288 
19	2.8 	10.0603 
20	2.9 	10.6972 
21	3.0 	11.3394 
22	3.1 	11.9867 
23	3.2 	12.6390 
24	3.3 	13.2961 
25	3.4 	13.9579 
26	3.5 	14.6242 
27	3.6 	15.2948 
28	3.7 	15.9697 
29	3.8 	16.6486 
30	3.9 	17.3314 
31	4.0 	18.0179 
32	4.1 	18.7080 
33	4.2 	19.4016 
34	4.3 	20.0985 
35	4.4 	20.7984 
36	4.5 	21.5014 
37	4.6 	22.2072 
38	4.7 	22.9157 
39	4.8 	23.6267 
40	4.9 	24.3400 
41	5.0 	25.0556 
42	5.1 	25.7732 
43	5.2 	26.4928 
44	5.3 	27.2141 
45	5.4 	27.9370 
46	5.5 	28.6613 
47	5.6 	29.3870 
48	5.7 	30.1138 
49	5.8 	30.8416 
50	5.9 	31.5702 
51	6.0 	32.2995 
52	6.1 	33.0293 
53	6.2 	33.7596 
54	6.3 	34.4900 
55	6.4 	35.2205 
56	6.5 	35.9510 
57	6.6 	36.6812 
58	6.7 	37.4110 
59	6.8 	38.1403 
60	6.9 	38.8689 
61	7.0 	38.9000 
62	7.1 	38.9000 
63	7.2 	38.9000 
64	7.3 	38.9000 
65	7.4 	38.9000 
66	7.5 	38.9000 
67	7.6 	38.9000 
68	7.7 	38.9000 
69	7.8 	38.9000 
70	7.9 	38.9000 
71	8.0 	38.9000 
72	8.1 	38.9000 
73	8.2 	38.9000 
74	8.3 	38.9000 
75	8.4 	38.9000 
76	8.5 	38.9000 
77	8.6 	38.9000 
78	8.7 	38.9000 
79	8.8 	38.9000 
80	8.9 	38.9000 
81	9.0 	38.9000 
82	9.1 	38.9000 
83	9.2 	38.9000 
84	9.3 	38.9000 
85	9.4 	38.9000 
86	9.5 	38.9000 
87	9.6 	38.9000 
88	9.7 	38.9000 
89	9.8 	38.9000 
90	9.9 	38.9000 
91	10.0 	38.9000 
92	10.1 	38.9000 
93	10.2 	38.9000 
94	10.3 	38.9000 
95	10.4 	38.9000 
96	10.5 	38.9000 
97	10.6 	38.9000 
98	10.7 	38.9000 
99	10.8 	38.9000 
100	10.9 	38.9000 
101	11.0 	38.9000 
102	11.1 	38.9000 
103	11.2 	38.9000 
104	11.3 	38.9000 
********************************************
KHQ 105
No	Head(m)	Q(m3/s)
0	0.0	0.0
1	1.0 	282.0
2	1.1 	304
3	1.2 	325
4	1.3 	345
5	1.4 	363
6	1.5 	381
7	1.6 	398
8	1.7 	414
9	1.8 	429
10	1.9 	444
11	2.0 	458
12	2.1 	471
13	2.2 	484
14	2.3 	496
15	2.4 	508
16	2.5 	519
17	2.6 	530
18	2.7 	541
19	2.8 	552
20	2.9 	562
21	3.0 	572
22	3.1 	582
23	3.2 	593
24	3.3 	603
25	3.4 	613
26	3.5 	624
27	3.6 	635
28	3.7 	646
29	3.8 	651
30	3.9 	654
31	4.0 	656
32	4.1 	659
33	4.2 	662
34	4.3 	664
35	4.4 	667
36	4.5 	670
37	4.6 	673
38	4.7 	675
39	4.8 	678
40	4.9 	680
41	5.0 	683
42	5.1 	686
43	5.2 	688
44	5.3 	691
45	5.4 	693
46	5.5 	696
47	5.6 	698
48	5.7 	701
49	5.8 	703
50	5.9 	706
51	6.0 	708
52	6.1 	710
53	6.2 	713
54	6.3 	715
55	6.4 	717
56	6.5 	719
57	6.6 	721
58	6.7 	723
59	6.8 	725
60	6.9 	727
61	7.0 	723
62	7.1 	690
63	7.2 	676
64	7.3 	664
65	7.4 	654
66	7.5 	641
67	7.6 	630
68	7.7 	618
69	7.8 	608
70	7.9 	597
71	8.0 	587
72	8.1 	578
73	8.2 	569
74	8.3 	561
75	8.4 	553
76	8.5 	545
77	8.6 	538
78	8.7 	531
79	8.8 	524
80	8.9 	517
81	9.0 	511
82	9.1 	506
83	9.2 	500
84	9.3 	494
85	9.4 	489
86	9.5 	484
87	9.6 	479
88	9.7 	475
89	9.8 	470
90	9.9 	466
91	10.0 	461
92	10.1 	457
93	10.2 	452
94	10.3 	448
95	10.4 	444
96	10.5 	439
97	10.6 	435
98	10.7 	431
99	10.8 	426
100	10.9 	421
101	11.0 	417
102	11.1 	412
103	11.2 	407
104	11.3 	401
