Results from Tidal Range Scheme 0D NDTL - Sluices - NoCutoff - Cd Test 
Time(Hr), WLup(m), WLdown(m), HeadDiff(m), TRSarea(m2), Power(MW), Energy(MWH), QTurb(m3/s), QSluice(m3/s), Mode(-)
0.000000, 1.805502, 1.805502, 0.000000, 226200.118997, 0.000000, 0.000000, -0.000000, 0.000000, 2
0.016667, 1.805502, 1.805446, 0.000056, 226200.118997, 0.000000, 0.000000, 0.000000, 0.000000, 2
0.033333, 1.805502, 1.805389, 0.000113, 226200.118997, 0.000000, 0.000000, 0.000000, 0.000000, 2
0.050000, 1.805502, 1.805333, 0.000169, 226200.118997, 0.000000, 0.000000, 0.000000, 0.000000, 2
0.066667, 1.805502, 1.805277, 0.000226, 226200.118997, 0.000000, 0.000000, 0.000000, 0.000000, 2
0.083333, 1.805502, 1.805220, 0.000282, 226200.118997, 0.000000, 0.000000, 0.000000, 0.000000, 2
0.100000, 1.805502, 1.805164, 0.000338, 226200.118997, 0.000000, 0.000000, 0.000000, 0.000000, 2
0.116667, 1.805502, 1.805107, 0.000395, 226200.118997, 0.000000, 0.000000, 0.000000, 0.000000, 2
0.133333, 1.805502, 1.805051, 0.000451, 226200.118997, 0.000000, 0.000000, 0.000000, 0.000000, 2
0.150000, 1.805502, 1.804995, 0.000508, 226200.118997, 0.000000, 0.000000, 0.000000, 0.000000, 2
0.166667, 1.805502, 1.804938, 0.000564, 226200.118997, 0.000000, 0.000000, 0.000000, 0.000000, 2
0.183333, 1.805502, 1.804882, 0.000620, 226200.118997, 0.000000, 0.000000, 0.000000, 0.000000, 2
0.200000, 1.805502, 1.804825, 0.000677, 226200.118997, 0.000000, 0.000000, 0.000000, 0.000000, 2
0.216667, 1.805502, 1.804769, 0.000733, 226200.118997, 0.000000, 0.000000, 0.000000, 0.000000, 2
0.233333, 1.805502, 1.804713, 0.000790, 226200.118997, 0.000000, 0.000000, 0.000000, 0.000000, 2
0.250000, 1.805502, 1.804656, 0.000846, 226200.118997, 0.000000, 0.000000, 0.000000, 0.000000, 2
0.266667, 1.805502, 1.797061, 0.008442, 226200.118997, 0.000000, 0.000000, 0.000000, 0.000000, 2
0.283333, 1.805502, 1.789465, 0.016037, 226200.118997, 0.000000, 0.000000, 0.000000, 0.000000, 2
0.300000, 1.805502, 1.781870, 0.023633, 226200.118997, 0.000000, 0.000000, 0.000000, 0.000000, 2
0.316667, 1.805502, 1.774274, 0.031228, 226200.118997, 0.000000, 0.000000, 0.000000, 0.000000, 2
0.333333, 1.805502, 1.766678, 0.038824, 226200.118997, 0.000000, 0.000000, 0.000000, 0.000000, 2
0.350000, 1.805502, 1.759083, 0.046419, 226200.118997, 0.000000, 0.000000, 0.000000, 0.000000, 2
0.366667, 1.805502, 1.751487, 0.054015, 226200.118997, 0.000000, 0.000000, 0.000000, 0.000000, 2
0.383333, 1.805502, 1.743892, 0.061610, 226200.118997, 0.000000, 0.000000, 0.000000, 0.000000, 2
0.400000, 1.805502, 1.736296, 0.069206, 226200.118997, 0.000000, 0.000000, 0.000000, 0.000000, 2
