MTL-FL-2W Flexible operation info.
Time(Hrs), HStart(m), HEnd(m), PmpEnd(-),Optimum
0, 2.5, 1, 1.25, 4083.4
12.1917, 2.5, 1, 1.25, 8971.44
24.3833, 2.5, 1, 1.25, 8924.74
36.575, 2.5, 1, 1.25, 8974.22
48.7667, 2.5, 1, 1.25, 8770.09
60.9583, 2.5, 1, 1.25, 8936.42
73.15, 2.5, 1, 1.25, 8961.92
85.4, 2.5, 1, 1.25, 7966.96
97.5917, 2.5, 1, 1.25, 7410.95
109.783, 2.5, 1, 1.25, 7621.55
121.975, 2.5, 1, 1.25, 6291.74
134.167, 2.5, 1, 1.25, 7017.74
146.358, 2.5, 1, 1.25, 4570.96
158.55, 2.5, 1, 1.25, 5315.96
170.742, 2.5, 1, 1.25, 2971.04
182.992, 2.5, 1, 1.25, 3844.53
195.183, 2.5, 1, 1.25, 1624.21
207.375, 2.5, 1, 1.25, 1948.96
219.567, 2.5, 1, 1.25, 1192.6
231.758, 2.5, 1, 1.25, 1564.1
243.95, 2.5, 1, 1.25, 2818.55
256.142, 2.5, 1, 1.25, 3817.31
268.392, 2.5, 1, 1.25, 6833.33
280.583, 2.5, 1, 1.25, 5839.06
292.775, 2.5, 1, 1.25, 6863.31
304.967, 2.5, 1, 1.25, 6631.26
317.158, 2.5, 1, 1.25, 7746.94
329.35, 2.5, 1, 1.25, 8040.96
341.542, 2.5, 1, 1.25, 6942.73
353.792, 2.5, 1, 1.25, 7514.52
