Time[Hrs],MTL-FL-2W_DS[mCD],MTL-FL-2W_US[mCD],MTL-FL-2W_Area[km2],MTL-FL-2W_power[MW],MTL-FL-2W_turbQ[m3/s],MTL-FL-2W_SlQ[m3/s],MTL-FL-2W_Mode[-],energy[MWh],value[Currency]
0,1.567,1.567,0,0,0,0,2,0,0
0.0583333,1.47647,1.567,52.8243,0,0,0,2,0,0
0.116667,1.38593,1.567,52.8243,0,0,0,2,0,0
0.175,1.2954,1.567,52.8243,0,0,0,2,0,0
0.233333,1.20487,1.567,52.8243,0,0,0,2,0,0
0.291667,1.11467,1.567,52.8243,0,0,0,2,0,0
0.35,1.0246,1.567,52.8243,0,0,0,2,0,0
0.408333,0.934533,1.567,52.8243,0,0,0,2,0,0
0.466667,0.844467,1.567,52.8243,0,0,0,2,0,0
0.525,0.7556,1.567,52.8243,0,0,0,2,0,0
0.583333,0.668333,1.567,52.8243,0,0,0,2,0,0
0.641667,0.581067,1.567,52.8243,0,0,0,2,0,0
0.7,0.4938,1.567,52.8243,0,0,0,2,0,0
0.758333,0.406333,1.567,52.8243,0,0,0,2,0,0
0.816667,0.317667,1.567,52.8243,0,0,0,2,0,0
0.875,0.229,1.567,52.8243,0,0,0,2,0,0
0.933333,0.140333,1.567,52.8243,0,0,0,2,0,0
0.991667,0.0516667,1.567,52.8243,0,0,0,2,0,0
1.05,-0.0346,1.567,52.8243,0,0,0,2,0,0
1.10833,-0.120467,1.567,52.8243,0,0,0,2,0,0
1.16667,-0.206333,1.567,52.8243,0,0,0,2,0,0
1.225,-0.2922,1.567,52.8243,0,0,0,2,0,0
1.28333,-0.380467,1.567,52.8243,0,0,0,2,0,0
1.34167,-0.470533,1.567,52.8243,0,0,0,2,0,0
1.4,-0.5606,1.567,52.8243,0,0,0,2,0,0
1.45833,-0.650667,1.567,52.8243,0,0,0,2,0,0
1.51667,-0.738933,1.567,52.8243,0,0,0,2,0,0
1.575,-0.8227,1.567,52.8243,0,0,0,2,0,0
