Scheme: Projects/NDTL/Inputs/LagoonNew.Dat
Mesh: Projects/NDTL/Inputs/Mesh-01.t3s
Lagoon: Title Line Here
Level(m)	Area(m2)
-2	0
-1.9	0
-1.8	0
-1.7	0
-1.6	0
-1.5	0
-1.4	0
-1.3	0
-1.2	0
-1.1	0
-1	0
-0.9	0
-0.8	0
-0.7	0
-0.6	0
-0.5	0
-0.4	0
-0.3	0
-0.2	0
-0.1	0
6.38378e-16	0
0.1	0
0.2	0
0.3	0
0.4	91.9651
0.5	182.26
0.6	498.711
0.7	960.599
0.8	2360.85
0.9	8617.73
1	19018.6
1.1	32935.9
1.2	57729.5
1.3	86007.4
1.4	110487
1.5	139366
1.6	167984
1.7	196391
1.8	225130
1.9	244574
2	263234
2.1	277197
2.2	290095
2.3	303337
2.4	320684
2.5	342357
2.6	369445
2.7	400015
2.8	424736
2.9	451099
3	479200
3.1	498806
3.2	515040
3.3	530554
3.4	545866
3.5	566002
3.6	588558
3.7	617130
3.8	647984
3.9	684570
4	714414
4.1	736473
4.2	753313
4.3	767417
4.4	780153
4.5	789569
4.6	793259
4.7	795032
4.8	795779
4.9	796985
5	797829
5.1	798528
5.2	799146
5.3	799732
5.4	800123
5.5	800705
5.6	800878
5.7	801036
5.8	801288
5.9	801337
6	801474
6.1	801523
6.2	801523
6.3	801523
6.4	801523
6.5	801523
6.6	801523
6.7	801523
6.8	801523
6.9	801523
7	801523
7.1	801523
7.2	801523
7.3	801523
7.4	801523
7.5	801523
7.6	801523
7.7	801523
7.8	801523
7.9	801523
8	801523
